نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
دیگنیتی پرستیژ,صفر کیلومتر,نامشخص,"2,750,000,000",2750000000
کیا موهاوی,کارکرده,نامشخص,"2,735,000,000",2735000000
فولکس واگن بیتل کوپه مدل ۲۰۱۲-۲۰۱۴,کارکرده,نامشخص,"2,735,000,000",2735000000
پژو ۲۰۰۸,صفر کیلومتر,نامشخص,"2,706,000,000",2706000000
تویوتا هایلوکس مدل ۲۰۰۸-۲۰۱۵,کارکرده,نامشخص,"2,705,000,000",2705000000
چانگان CS55 پلاس,صفر کیلومتر,نامشخص,"2,705,000,000",2705000000
فونیکس تیگو ۷ پرو مکس,صفر کیلومتر,1403,"2,700,000,000",2700000000
نیسان جوک,صفر کیلومتر,2017,"2,700,000,000",2700000000
بنز CLK,کارکرده,نامشخص,"2,685,000,000",2685000000
بنز C کلاس مدل ۲۰۰۸-۲۰۱۴,کارکرده,نامشخص,"2,685,000,000",2685000000
میتسوبیشی پاجرو ۲ در,کارکرده,نامشخص,"2,685,000,000",2685000000
بی ام و سری ۷ مدل ۲۰۰۵-۲۰۰۸,کارکرده,نامشخص,"2,685,000,000",2685000000
هیوندای النترا مدل ۲۰۲۳,صفر کیلومتر,نامشخص,"2,650,000,000",2650000000
نیسان کیکس,صفر کیلومتر,2023,"2,650,000,000",2650000000
هیوندای سوناتا LF  مدل ۲۰۱۵-۲۰۱۷,کارکرده,نامشخص,"2,635,000,000",2635000000
لکسوس ES350 مدل ۲۰۱۳,کارکرده,2013,"2,630,000,000",2630000000
تویوتا پریوس,صفر کیلومتر,نامشخص,"2,600,000,000",2600000000
تویوتا لوین,صفر کیلومتر,2024,"2,600,000,000",2600000000
فولکس واگن جتا VS7,صفر کیلومتر,نامشخص,"2,600,000,000",2600000000
کیا سونت,صفر کیلومتر,نامشخص,"2,600,000,000",2600000000
ولوو XC60,کارکرده,نامشخص,"2,585,000,000",2585000000
هیوندای وراکروز IX55,کارکرده,نامشخص,"2,585,000,000",2585000000
بی ام و X3 مدل ۲۰۱۱-۲۰۱۴,کارکرده,نامشخص,"2,585,000,000",2585000000
سیتروئن C3,صفر کیلومتر,نامشخص,"2,570,000,000",2570000000
هوندا سیتی ۲۰۲۳,صفر کیلومتر,2023,"2,550,000,000",2550000000
فونیکس تیگو ۷ پرو,صفر کیلومتر,نامشخص,"2,550,000,000",2550000000
تویوتا کرولا مدل ۲۰۲۲-۲۰۲۳,صفر کیلومتر,نامشخص,"2,550,000,000",2550000000
بنز C کلاس مدل ۲۰۰۸-۲۰۱۱,کارکرده,نامشخص,"2,535,000,000",2535000000
تویوتا کمری مدل ۲۰۱۲-۲۰۱۵,کارکرده,نامشخص,"2,535,000,000",2535000000
سانگ یانگ تیوولی توربو,صفر کیلومتر,1400,"2,521,000,000",2521000000
سوزوکی فرانکس,صفر کیلومتر,2024,"2,510,000,000",2510000000
